2025-04-14 15:46:10,1,D,0.55
2025-04-14 15:46:26,1,AGES,1.0
2025-04-14 15:46:27,1,LAGES,0.94
2025-04-14 15:46:29,3,GETTYIM,1.0
2025-04-14 15:46:31,1,GES,1.0
2025-04-14 15:46:31,1,ES,0.98
2025-04-14 15:46:38,3,GETTYIMAGES,1.0
2025-04-14 15:46:46,3,GETTYINAGES,0.95
2025-04-14 15:46:48,3,GETTYIRMAGES,0.92
2025-04-14 15:46:48,3,BF12RNJ,0.91
2025-04-14 15:46:52,3,GETTVIMAG,0.98
2025-04-14 23:24:48,1,D,0.55
2025-04-14 23:24:53,1,AGES,1.0
2025-04-14 23:24:53,1,LAGES,0.94
2025-04-14 23:24:55,3,GETTYIM,1.0
2025-04-14 23:24:56,1,GES,1.0
2025-04-14 23:24:56,1,ES,0.98
2025-04-14 23:25:01,3,GETTYIMAGES,1.0
2025-04-14 23:25:06,3,GETTYINAGES,0.95
2025-04-14 23:25:07,3,GETTYIRMAGES,0.92
2025-04-14 23:25:08,3,BF12RNJ,0.91
2025-04-14 23:25:10,3,GETTVIMAG,0.98
2025-04-14 23:25:12,3,GETTYIMAGE,0.99
2025-04-14 23:25:20,5,550,0.74
2025-04-14 23:25:21,5,55AX,0.61
2025-04-14 23:25:23,5,UISSAX,0.61
2025-04-14 23:25:24,5,ID70U1555X066,0.91
2025-04-14 23:25:24,3,ETTYIMAGES,0.99
2025-04-14 23:25:25,5,ID70U1555X,0.87
2025-04-14 23:25:26,5,ID70VUISSSX093,0.75
2025-04-14 23:25:27,3,TTYIMAGES,1.0
2025-04-14 23:25:29,3,YIMAGES,0.99
2025-04-14 23:25:29,5,ID70VUI555X093,0.74
2025-04-14 23:25:30,3,MAGES,1.0
2025-04-14 23:25:31,5,I070VUISSSX,0.74
2025-04-14 23:25:31,3,NAGES,0.98
2025-04-14 23:25:34,3,AGES,1.0
2025-04-14 23:25:36,5,ID70VUI5S5X093,0.77
2025-04-14 23:25:37,3,GES,1.0
2025-04-14 23:25:37,5,ID70VUIS5SX093,0.73
2025-04-14 23:25:37,5,ID70VURS55X093,0.75
2025-04-14 23:25:38,5,ID70VURSSSX093,0.74
2025-04-14 23:25:43,5,ID70VU5S5X093,0.78
2025-04-14 23:25:46,5,I070VUISSSX093,0.75
2025-04-14 23:25:47,5,GETTY,1.0
2025-04-14 23:25:49,5,GETTYI,0.99
2025-04-14 23:25:50,5,GETTYIN,0.95
2025-04-14 23:25:53,5,GETTYIMA,1.0
2025-04-14 23:25:55,5,GETTYIMAG,0.99
2025-04-14 23:25:56,5,GETTYIMAGES,0.99
2025-04-14 23:26:05,5,GETTVIMAGES,0.95
2025-04-14 23:26:32,1,D,0.55
2025-04-14 23:26:39,1,AGES,1.0
2025-04-14 23:26:39,1,LAGES,0.94
2025-04-14 23:26:41,3,GETTYIM,1.0
2025-04-14 23:26:43,1,GES,1.0
2025-04-14 23:26:43,1,ES,0.98
2025-04-14 23:26:52,3,GETTYIMAGES,1.0
2025-04-14 23:26:57,3,GETTYINAGES,0.95
2025-04-14 23:26:58,3,GETTYIRMAGES,0.92
2025-04-14 23:26:59,3,BF12RNJ,0.91
2025-04-14 23:27:01,3,GETTVIMAG,0.98
2025-04-14 23:27:02,3,GETTYIMAGE,0.99
2025-04-14 23:27:10,5,550,0.74
2025-04-14 23:27:11,5,55AX,0.61
2025-04-15 10:42:26,1,D,0.55
2025-04-15 10:42:42,1,AGES,1.0
2025-04-15 10:42:42,1,LAGES,0.94
2025-04-15 10:42:44,3,GETTYIM,1.0
2025-04-15 10:42:46,1,GES,1.0
2025-04-15 10:42:47,1,ES,0.98
2025-04-15 10:42:54,3,GETTYIMAGES,1.0
2025-04-15 10:43:01,3,GETTYINAGES,0.95
2025-04-15 10:43:04,3,GETTYIRMAGES,0.92
2025-04-15 10:43:05,3,BF12RNJ,0.91
2025-04-15 10:43:09,3,GETTVIMAG,0.98
2025-04-15 10:43:11,3,GETTYIMAGE,0.99
2025-04-15 10:43:23,5,550,0.74
2025-04-15 10:43:23,5,55AX,0.61
2025-04-15 10:43:25,5,UISSAX,0.61
2025-04-15 10:43:26,5,ID70U1555X066,0.91
2025-04-15 10:43:27,3,ETTYIMAGES,0.99
2025-04-15 10:43:28,5,ID70U1555X,0.87
2025-04-15 10:43:29,5,ID70VUISSSX093,0.75
2025-04-15 10:43:30,3,TTYIMAGES,1.0
2025-04-15 10:43:31,3,YIMAGES,0.99
2025-04-15 10:43:32,5,ID70VUI555X093,0.74
2025-04-15 10:43:34,3,MAGES,1.0
2025-04-15 10:43:35,5,I070VUISSSX,0.74
2025-04-15 10:43:35,3,NAGES,0.98
2025-04-15 10:43:38,3,AGES,1.0
2025-04-15 15:12:37,1,D,0.55
2025-04-15 15:12:59,1,AGES,1.0
2025-04-15 15:13:01,1,LAGES,0.94
2025-04-15 15:13:05,3,GETTYIM,1.0
2025-04-15 15:13:08,1,GES,1.0
2025-04-15 15:13:09,1,ES,0.98
2025-04-15 15:13:17,3,GETTYIMAGES,1.0
2025-04-15 15:13:24,3,GETTYINAGES,0.95
2025-04-15 15:13:27,3,GETTYIRMAGES,0.92q
2025-04-15 15:13:28,3,BF12RNJ,0.91
2025-04-15 15:13:32,3,GETTVIMAG,0.98
2025-04-15 15:13:34,3,GETTYIMAGE,0.99
